size_label,nominal_in,tool_tolerance_plus_in,tool_tolerance_minus_in,availability_tier,preferred_rank,source_family,source_urls,notes
0.2140,0.2140,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2158,0.2158,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2160,0.2160,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
7/32,0.2188,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2314,0.2314,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2330,0.2330,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2340,0.2340,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
15/64,0.2344,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2455,0.2455,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2460,0.2460,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2470,0.2470,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
1/4,0.2500,0.0002,0.0000,preferred,2,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Preferred aircraft size; overlaps standard aircraft decimal reference charts."
0.2600,0.2600,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2610,0.2610,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2620,0.2620,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2621,0.2621,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
17/64,0.2656,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2770,0.2770,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
9/32,0.2812,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2969,0.2969,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
5/16,0.3125,0.0002,0.0000,preferred,3,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Preferred aircraft size; overlaps standard aircraft decimal reference charts."
0.3281,0.3281,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.3438,0.3438,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.3595,0.3595,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
3/8,0.3750,0.0002,0.0000,preferred,4,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Preferred aircraft size; overlaps standard aircraft decimal reference charts."
0.3906,0.3906,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.4062,0.4062,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.4219,0.4219,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
7/16,0.4375,0.0002,0.0000,preferred,5,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Preferred aircraft size; overlaps standard aircraft decimal reference charts."
0.4531,0.4531,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.4688,0.4688,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.4844,0.4844,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
1/2,0.5000,0.0002,0.0000,preferred,6,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Preferred aircraft size; overlaps standard aircraft decimal reference charts."
0.5312,0.5312,0.0003,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","NAS897 tolerance band expands to +0.0003 over 0.5000 to 0.7500 tool diameter."
9/16,0.5625,0.0003,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","NAS897 tolerance band expands to +0.0003 over 0.5000 to 0.7500 tool diameter."
0.5781,0.5781,0.0003,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","NAS897 tolerance band expands to +0.0003 over 0.5000 to 0.7500 tool diameter."
0.5938,0.5938,0.0003,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","NAS897 tolerance band expands to +0.0003 over 0.5000 to 0.7500 tool diameter."
5/8,0.6250,0.0003,0.0000,preferred,7,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Preferred aircraft size; overlaps standard aircraft decimal reference charts."
